,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
33,dart_ProceedsFromLongTermBorrowings,장기금융부채의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,장기금융부채의 증가,,616505520000.0,1757680270000.0,1235789160000.0,918140160000.0,668340660000.0,1161165898000.0,407100000000.0,207100000000.0,207100000000.0,1992028246000.0,1701864133000.0,540439237000.0,538663104000.0,1440519418000.0,1311890938000.0,1142272678000.0,532763858000.0,4520814336000.0,4008491656000.0,3187475068000.0,1519179667000.0,3948291136000.0,3132148234000.0,2293173832000.0,1047677123000.0,1920632273000.0,1777957805000.0,1558362186000.0,679543650000.0,4624950579000.0,3579376791000.0,1586185547000.0,1150654848000.0,1484775397000.0,1048360339000.0,1827191909000.0,303256162000.0,803769826000.0,509568058000.0,184498119000.0,107055802000.0,517294252000.0,128322378000.0,18866600000.0,1353863000.0,,61521225000.0,84657688000.0,326114740000.0,231691451000.0,323738834000.0,239204836000.0,38354783000.0,1960091310000.0
34,entity00164830_udf_CF_202022711142586_CashFlowsFromUsedInFinancingActivities,유상증자,issue of share capital,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,유상증자,,,,,,,1227754515000.0,1240135810000.0,1240135810000.0,1240108093000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73995000.0,80535713000.0,1299746325000.0,,
35,dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,자기주식의 처분,,,,,,,329587554000.0,317254879000.0,,,254373210000.0,,,,,,,,127520897000.0,,,,,,,,,,,,,,,,,,,,,,,,,,342320782000.0,,,,250346757000.0,,,,,,
36,entity00164830_udf_CF_2020227111922825_CashFlowsFromUsedInFinancingActivities,종속기업의 유상증자,issue of share capital of subsidiary,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,종속기업의 유상증자,,,56925699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,entity00164830_udf_CF_202022711141362_CashFlowsFromUsedInFinancingActivities,비지배지분의 증가,Increase in Non-controlling interests,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,비지배지분의 증가,,,,,,,2013820000.0,2013820000.0,2068877000.0,,893159000.0,324175000.0,204091000.0,322990000.0,53875843000.0,31200623000.0,31182134000.0,11897235000.0,146388389000.0,146464881000.0,52000000000.0,16000000000.0,90706851000.0,79779433000.0,32025079000.0,16055574000.0,43966037000.0,43792771000.0,8208483000.0,137216000.0,85666448000.0,46370352000.0,44492537000.0,171510000.0,20958284000.0,22559101000.0,15482833000.0,8464054000.0,236461681000.0,46546326000.0,,,,,,,,,,,,,,,
38,entity00164830_udf_CF_2020227111359992_CashFlowsFromUsedInFinancingActivities,단기금융부채의 감소,Decrease in Short-Term Financial Liabilities,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,단기금융부채의 감소,,-939482984000.0,-4679396324000.0,-3087157177000.0,-2076890483000.0,-1016104031000.0,-5918414780000.0,-4841228821000.0,-3550248716000.0,-1535355202000.0,-15372101668000.0,-12047018468000.0,-8359020411000.0,-4874210621000.0,-18445379021000.0,-13484948902000.0,-6742685629000.0,-3441224394000.0,-24454311558000.0,-21071328098000.0,-15408738457000.0,-7732273184000.0,-27531274905000.0,-24226889638000.0,-18856285751000.0,-8618763655000.0,-28488829701000.0,-21991202352000.0,-14760449573000.0,-6979140213000.0,-27066247362000.0,-20475989221000.0,-13484533738000.0,-6347887301000.0,-13231735845000.0,-10313329701000.0,-2916952606000.0,-2219947015000.0,-6480894585000.0,-5893878146000.0,-2248220452000.0,-1220322955000.0,,,,,,,,,,,,,
39,entity00164830_udf_CF_2020227111358612_CashFlowsFromUsedInFinancingActivities,리스부채의 상환,Adjustments for decrease in currnet lease liabilities,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,리스부채의 상환,,-4565778000.0,-10761665000.0,-7688388000.0,-5250151000.0,-2621924000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,entity00164830_udf_CF_202022711135741_CashFlowsFromUsedInFinancingActivities,장기금융부채의 감소,Decrease in long-Term Financial Liabilities,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,장기금융부채의 감소,,-45127544000.0,,,,,-408937427000.0,-61464019000.0,-55570000000.0,-5874082000.0,-769225308000.0,-772024503000.0,-253666622000.0,-55900000.0,-190347788000.0,-230531348000.0,-208641801000.0,-99679384000.0,-556399241000.0,-504345215000.0,-215640244000.0,-100314360000.0,-399299658000.0,-43722148000.0,-40698814000.0,-16351718000.0,-701872731000.0,-688161182000.0,-452175767000.0,-13830091000.0,-3916617000.0,-4186798000.0,-4303212000.0,-40848000.0,-293176438000.0,-104414678000.0,-1374961069000.0,-1475944000.0,-93331320000.0,-443303392000.0,-154029724000.0,-325000.0,,,,,,,,,,,,,
41,dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,자기주식의 취득,,,,,,,2954912000.0,,,,10448041000.0,-10448041000.0,-10448041000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379689397000.0,24413966000.0,12264457000.0,,,61472196000.0,77419906000.0,568576906000.0,,,
42,entity00164830_udf_CF_2020227111425599_CashFlowsFromUsedInFinancingActivities,신종자본증권 이자지급,interest payments on hybrid bond,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,신종자본증권 이자지급,,,-9701087000.0,-9701087000.0,-9701087000.0,-5250000000.0,-21000000000.0,-15750000000.0,-10500000000.0,-3853500000.0,-21000000000.0,-15750000000.0,-10500000000.0,-5250000000.0,-21000000000.0,-15750000000.0,-10500000000.0,-5250000000.0,-21000000000.0,-15750000000.0,-10500000000.0,-5250000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,entity00164830_udf_CF_2020227111945896_CashFlowsFromUsedInFinancingActivities,종속기업의 신종자본증권 상환,Repayment of hybrid bond by Subsidiary,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,종속기업의 신종자본증권 상환,,,-430000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,entity00164830_udf_CF_2020227111431765_CashFlowsFromUsedInFinancingActivities,비지배지분의 감소,reduction of non-controlling interests,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,비지배지분의 감소,,,-27362377000.0,-22112377000.0,-16862377000.0,,-2428909000.0,-2428909000.0,-3471366000.0,-3461180000.0,-12659921000.0,-12640729000.0,-12621241000.0,-5521824000.0,-51586691000.0,-64968778000.0,-62276903000.0,-29896494000.0,-8186536000.0,-8186536000.0,-10361768000.0,-1069410000.0,-3949556000.0,-4159393000.0,-5249556000.0,-1475212000.0,-10184412000.0,-10184412000.0,-9617912000.0,-1094368000.0,-21431942000.0,-16313690000.0,-15455825000.0,-1519250000.0,-70497979000.0,-92110255000.0,-73458502000.0,-14830345000.0,-45335934000.0,-50964746000.0,-39811595000.0,-2849250000.0,,,,,,,,,,,,,
45,dart_PaymentForStockIssueCost,신주발행비,Payment for stock issue cost,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,신주발행비,,,,,,,159665000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,entity00164830_udf_CF_2020399253994_CashFlowsFromUsedInFinancingActivities,인적분할로 인한 변동,Variation due to segmentation,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,인적분할로 인한 변동,,,,,,,,,,,-1077147933000.0,-1077147933000.0,-1077147933000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,entity00164830_udf_CF_2020227111445385_StatementOfCashFlowsAbstract,매각예정자산의 순현금변동,Net Cash Fluctuations in assets held for sale,현금흐름표 [abstract],매각예정자산의 순현금변동,,,,,,,-33673913000.0,7634564000.0,7634564000.0,-14041247000.0,28600252000.0,-129506848000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,1087256000.0,3812485000.0,10343301000.0,5117955000.0,4110157000.0,3014811000.0,-856064000.0,10718843000.0,-5316786000.0,-24368063000.0,-1102386000.0,-6124288000.0,-18575218000.0,9851969000.0,-11733860000.0,,41056661000.0,2243462000.0,7231096000.0,,-6564521000.0,-8930543000.0,-26643824000.0,-13101183000.0,-17166036000.0,-2206268000.0,-10836448000.0,12034185000.0,6899493000.0,-7975539000.0,-11705463000.0,-2126499000.0,-1771661000.0,-4354277000.0,17718608000.0,-5382089000.0,-6590705000.0,1811530000.0,-13930887000.0,3358908000.0,-1960581000.0,,,,,,,,,,,,,
49,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 감소,decrease in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 감소,,,1937353066000.0,-816643010000.0,698123666000.0,491793814000.0,322495789000.0,-197940745000.0,-541079257000.0,-100278804000.0,1113559529000.0,-1086766331000.0,-428865071000.0,-408786205000.0,-348498124000.0,1258370702000.0,1111809498000.0,,1490752297000.0,-161064927000.0,-213533805000.0,,-275542863000.0,1902200967000.0,267306918000.0,279389856000.0,-65423344000.0,228923056000.0,287193977000.0,800972525000.0,1492812967000.0,-502289300000.0,-107922030000.0,621198324000.0,731796334000.0,-268821623000.0,344927903000.0,478093920000.0,936106528000.0,-58610498000.0,-374259884000.0,-134891277000.0,227183331000.0,,,,,,,,,,,,,
50,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초의 현금및현금성자산,,,2225143190000.0,3041786200000.0,3041786200000.0,3041786200000.0,3041786200000.0,3239726945000.0,3239726945000.0,3239726945000.0,3239726945000.0,4326493276000.0,4326493276000.0,4326493276000.0,4326867973000.0,3068122574000.0,3105303361000.0,,3105303361000.0,3229187501000.0,3229315488000.0,,3229315488000.0,1326986534000.0,1336613209000.0,1336613209000.0,1336613209000.0,1107690153000.0,1107690153000.0,1107690153000.0,1107690153000.0,1609979453000.0,1609979453000.0,1609979453000.0,1609979453000.0,1878801076000.0,1878801076000.0,1878801076000.0,1878801076000.0,1937411574000.0,1937411574000.0,1937411574000.0,1937411574000.0,,,,,,,,,,,,,
51,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말의 현금및현금성자산,,,,2225143190000.0,,,,3041786200000.0,,,,3239726945000.0,3897628205000.0,,,4326493276000.0,4217112859000.0,,4596055658000.0,3068122574000.0,3015781683000.0,,2953772625000.0,3229187501000.0,1603920127000.0,1616003065000.0,1271189865000.0,1336613209000.0,1394884130000.0,1908662678000.0,2600503120000.0,1107690153000.0,1502057423000.0,2231177777000.0,2341775787000.0,1609979453000.0,2223728979000.0,2356894996000.0,2814907604000.0,1878801076000.0,1563151690000.0,1802520297000.0,2164594905000.0,,,,,,,,,,,,,
